census_section,cars,others,motos,population,cars_abs,motos_abs,others_abs,census_section_raw_str,census_section_std
801905009,346,27,275,1572,543.91,432.3,42.44,801905009,0801905009
801905010,336,42,248,1433,481.49,355.38,60.19,801905010,0801905010
801905011,340,32,227,1338,454.92,303.73,42.82,801905011,0801905011
801905012,370,72,226,1291,477.67,291.77,92.95,801905012,0801905012
801905013,367,41,240,1586,582.06,380.64,65.03,801905013,0801905013
801905014,408,30,258,1477,602.62,381.07,44.31,801905014,0801905014
801905015,335,16,231,1461,489.44,337.49,23.38,801905015,0801905015
801905016,307,22,191,1772,544.0,338.45,38.98,801905016,0801905016
801905017,513,35,350,1444,740.77,505.4,50.54,801905017,0801905017
801905018,404,22,246,1175,474.7,289.05,25.85,801905018,0801905018
801905019,410,40,294,1582,648.62,465.11,63.28,801905019,0801905019
801905020,421,30,276,1031,434.05,284.56,30.93,801905020,0801905020
801905021,386,27,185,1163,448.92,215.16,31.4,801905021,0801905021
801905022,456,27,295,1552,707.71,457.84,41.9,801905022,0801905022
801905023,375,33,224,1374,515.25,307.78,45.34,801905023,0801905023
801905024,444,41,331,1809,803.2,598.78,74.17,801905024,0801905024
801905025,475,27,336,1227,582.82,412.27,33.13,801905025,0801905025
801905026,472,26,360,1361,642.39,489.96,35.39,801905026,0801905026
801905027,497,19,305,1308,650.08,398.94,24.85,801905027,0801905027
801905028,388,51,274,1614,626.23,442.24,82.31,801905028,0801905028
801905029,462,34,400,1548,715.18,619.2,52.63,801905029,0801905029
801905030,468,23,352,1320,617.76,464.64,30.36,801905030,0801905030
801905031,532,40,538,1489,792.15,801.08,59.56,801905031,0801905031
801905032,441,31,270,1722,759.4,464.94,53.38,801905032,0801905032
801905033,423,33,301,1385,585.86,416.88,45.71,801905033,0801905033
801905034,312,25,253,1177,367.22,297.78,29.42,801905034,0801905034
801905035,479,31,328,981,469.9,321.77,30.41,801905035,0801905035
801905036,370,27,286,1670,617.9,477.62,45.09,801905036,0801905036
801905037,303,27,264,1344,407.23,354.82,36.29,801905037,0801905037
801905038,349,12,283,1280,446.72,362.24,15.36,801905038,0801905038
801905039,392,34,277,1470,576.24,407.19,49.98,801905039,0801905039
801905040,297,33,252,1390,412.83,350.28,45.87,801905040,0801905040
801905041,239,24,208,1879,449.08,390.83,45.1,801905041,0801905041
801905042,319,6,236,1183,377.38,279.19,7.1,801905042,0801905042
801905043,300,27,260,1376,412.8,357.76,37.15,801905043,0801905043
801905044,307,24,275,1218,373.93,334.95,29.23,801905044,0801905044
801905045,479,24,272,1507,721.85,409.9,36.17,801905045,0801905045
801905046,491,26,338,983,482.65,332.25,25.56,801905046,0801905046
801905047,422,28,300,1135,478.97,340.5,31.78,801905047,0801905047
801905048,405,31,348,1159,469.4,403.33,35.93,801905048,0801905048
801905049,463,45,339,1543,714.41,523.08,69.44,801905049,0801905049
801905050,405,35,275,1549,627.34,425.98,54.22,801905050,0801905050
801905051,413,41,291,1535,633.95,446.68,62.94,801905051,0801905051
801905052,420,26,307,1372,576.24,421.2,35.67,801905052,0801905052
801905053,513,67,329,1428,732.56,469.81,95.68,801905053,0801905053
801905054,545,39,381,987,537.92,376.05,38.49,801905054,0801905054
801905055,565,69,474,1318,744.67,624.73,90.94,801905055,0801905055
801905056,419,21,279,1155,483.94,322.24,24.26,801905056,0801905056
801905057,521,41,304,1536,800.26,466.94,62.98,801905057,0801905057
801905058,430,54,329,1496,643.28,492.18,80.78,801905058,0801905058
801905059,519,142,294,1483,769.68,436.0,210.59,801905059,0801905059
801905060,408,38,345,1097,447.58,378.46,41.69,801905060,0801905060
801905061,361,73,297,1398,504.68,415.21,102.05,801905061,0801905061
801905062,327,21,239,1518,496.39,362.8,31.88,801905062,0801905062
801905063,350,31,254,1458,510.3,370.33,45.2,801905063,0801905063
801905064,316,20,236,1429,451.56,337.24,28.58,801905064,0801905064
801905065,415,128,247,1568,650.72,387.3,200.7,801905065,0801905065
801905066,388,73,270,1244,482.67,335.88,90.81,801905066,0801905066
801905067,787,196,350,1225,964.08,428.75,240.1,801905067,0801905067
801905068,534,71,345,1470,784.98,507.15,104.37,801905068,0801905068
801905069,344,44,243,1638,563.47,398.03,72.07,801905069,0801905069
801905070,294,29,269,1370,402.78,368.53,39.73,801905070,0801905070
801905071,341,45,240,1558,531.28,373.92,70.11,801905071,0801905071
801905072,343,18,238,1595,547.08,379.61,28.71,801905072,0801905072
801905073,424,33,282,1513,641.51,426.67,49.93,801905073,0801905073
801905074,412,26,256,1535,632.42,392.96,39.91,801905074,0801905074
801905075,376,64,316,1727,649.35,545.73,110.53,801905075,0801905075
801905076,352,25,285,1316,463.23,375.06,32.9,801905076,0801905076
801905077,329,44,304,1391,457.64,422.86,61.2,801905077,0801905077
801905078,346,15,266,2026,701.0,538.92,30.39,801905078,0801905078
801905079,343,21,265,1144,392.39,303.16,24.02,801905079,0801905079
801905080,264,22,213,1277,337.13,272.0,28.09,801905080,0801905080
801905081,297,29,259,1522,452.03,394.2,44.14,801905081,0801905081
801905082,271,26,199,1547,419.24,307.85,40.22,801905082,0801905082
801905083,309,23,234,1244,384.4,291.1,28.61,801905083,0801905083
801905084,277,24,229,1296,358.99,296.78,31.1,801905084,0801905084
801905085,252,33,206,1262,318.02,259.97,41.65,801905085,0801905085
801905086,291,49,192,1268,368.99,243.46,62.13,801905086,0801905086
801905087,307,22,268,1519,466.33,407.09,33.42,801905087,0801905087
801905088,305,21,237,1716,523.38,406.69,36.04,801905088,0801905088
801905089,326,23,217,1736,565.94,376.71,39.93,801905089,0801905089
801905090,336,27,248,1787,600.43,443.18,48.25,801905090,0801905090
801905091,307,17,239,1520,466.64,363.28,25.84,801905091,0801905091
801905092,363,26,226,1490,540.87,336.74,38.74,801905092,0801905092
801905093,375,24,294,1044,391.5,306.94,25.06,801905093,0801905093
801905094,336,23,278,2610,876.96,725.58,60.03,801905094,0801905094
801905095,280,16,226,1597,447.16,360.92,25.55,801905095,0801905095
801905096,296,13,212,1064,314.94,225.57,13.83,801905096,0801905096
801905097,397,32,302,1581,627.66,477.46,50.59,801905097,0801905097
801905098,314,14,237,1473,462.52,349.1,20.62,801905098,0801905098
801906001,270,40,191,1083,292.41,206.85,43.32,801906001,0801906001
801906002,289,23,176,1415,408.93,249.04,32.54,801906002,0801906002
801906003,301,34,202,2185,657.68,441.37,74.29,801906003,0801906003
801906004,327,43,218,1323,432.62,288.41,56.89,801906004,0801906004
801906006,376,24,250,977,367.35,244.25,23.45,801906006,0801906006
801906007,302,22,193,1914,578.03,369.4,42.11,801906007,0801906007
801906008,282,17,212,1846,520.57,391.35,31.38,801906008,0801906008
801906009,416,35,309,1228,510.85,379.45,42.98,801906009,0801906009
801906010,388,22,211,976,378.69,205.94,21.47,801906010,0801906010
801906011,401,20,199,1227,492.03,244.17,24.54,801906011,0801906011
801906012,338,15,227,1101,372.14,249.93,16.52,801906012,0801906012
801906013,273,26,215,1723,470.38,370.44,44.8,801906013,0801906013
801906014,270,13,167,1363,368.01,227.62,17.72,801906014,0801906014
801906015,264,36,234,1391,367.22,325.49,50.08,801906015,0801906015
801906016,250,25,177,1522,380.5,269.39,38.05,801906016,0801906016
801906017,263,28,206,1352,355.58,278.51,37.86,801906017,0801906017
801906018,269,30,240,1262,339.48,302.88,37.86,801906018,0801906018
801906019,282,39,216,1428,402.7,308.45,55.69,801906019,0801906019
801906020,242,33,171,1113,269.35,190.32,36.73,801906020,0801906020
801906021,307,26,166,1299,398.79,215.63,33.77,801906021,0801906021
801906022,282,41,211,1302,367.16,274.72,53.38,801906022,0801906022
801906023,419,28,220,1238,518.72,272.36,34.66,801906023,0801906023
801906024,287,27,215,1575,452.02,338.62,42.52,801906024,0801906024
801906025,312,11,178,1334,416.21,237.45,14.67,801906025,0801906025
801906026,247,13,155,982,242.55,152.21,12.77,801906026,0801906026
801906027,308,27,183,1152,354.82,210.82,31.1,801906027,0801906027
801906028,234,18,153,1261,295.07,192.93,22.7,801906028,0801906028
801906029,240,20,187,1225,294.0,229.08,24.5,801906029,0801906029
801906030,228,25,169,1259,287.05,212.77,31.48,801906030,0801906030
801906031,243,28,174,1051,255.39,182.87,29.43,801906031,0801906031
801906032,245,31,178,1124,275.38,200.07,34.84,801906032,0801906032
801906033,227,26,184,1200,272.4,220.8,31.2,801906033,0801906033
801906034,405,13,174,1112,450.36,193.49,14.46,801906034,0801906034
801906035,265,25,156,1031,273.22,160.84,25.78,801906035,0801906035
801906036,255,202,185,1285,327.68,237.72,259.57,801906036,0801906036
801906037,274,42,190,1040,284.96,197.6,43.68,801906037,0801906037
801906038,213,19,146,1418,302.03,207.03,26.94,801906038,0801906038
801906039,179,21,156,1491,266.89,232.6,31.31,801906039,0801906039
801906040,233,23,182,1536,357.89,279.55,35.33,801906040,0801906040
801906041,216,15,175,1652,356.83,289.1,24.78,801906041,0801906041
801906042,244,39,189,1614,393.82,305.05,62.95,801906042,0801906042
801906043,263,29,198,1235,324.8,244.53,35.82,801906043,0801906043
801906044,395,123,234,1526,602.77,357.08,187.7,801906044,0801906044
801906045,290,63,192,1227,355.83,235.58,77.3,801906045,0801906045
801906046,208,23,148,1089,226.51,161.17,25.05,801906046,0801906046
801906047,169,23,145,1158,195.7,167.91,26.63,801906047,0801906047
801906048,245,19,179,1341,328.54,240.04,25.48,801906048,0801906048
801906049,182,23,163,1050,191.1,171.15,24.15,801906049,0801906049
801906050,161,29,155,1235,198.84,191.42,35.82,801906050,0801906050
801906051,186,23,157,1139,211.85,178.82,26.2,801906051,0801906051
801906052,230,32,172,1427,328.21,245.44,45.66,801906052,0801906052
801906053,184,18,157,1423,261.83,223.41,25.61,801906053,0801906053
801906054,205,26,143,1536,314.88,219.65,39.94,801906054,0801906054
801906055,187,20,122,1298,242.73,158.36,25.96,801906055,0801906055
801906056,181,38,132,1520,275.12,200.64,57.76,801906056,0801906056
801906057,188,31,153,1464,275.23,223.99,45.38,801906057,0801906057
801906058,226,46,171,1613,364.54,275.82,74.2,801906058,0801906058
801906059,235,37,150,1408,330.88,211.2,52.1,801906059,0801906059
801906060,262,31,216,1648,431.78,355.97,51.09,801906060,0801906060
801906061,240,18,161,1216,291.84,195.78,21.89,801906061,0801906061
801906062,225,23,161,1205,271.12,194.0,27.72,801906062,0801906062
801906063,238,25,160,1418,337.48,226.88,35.45,801906063,0801906063
801906064,255,27,155,1823,464.86,282.56,49.22,801906064,0801906064
801906065,277,15,153,1072,296.94,164.02,16.08,801906065,0801906065
801906066,259,21,165,934,241.91,154.11,19.61,801906066,0801906066
801906067,228,31,188,1677,382.36,315.28,51.99,801906067,0801906067
801906068,253,34,207,1475,373.18,305.32,50.15,801906068,0801906068
801906069,264,21,159,992,261.89,157.73,20.83,801906069,0801906069
801906070,247,23,167,1777,438.92,296.76,40.87,801906070,0801906070
801906071,295,19,196,994,293.23,194.82,18.89,801906071,0801906071
801906072,301,26,136,1549,466.25,210.66,40.27,801906072,0801906072
801906073,317,39,216,1258,398.79,271.73,49.06,801906073,0801906073
801906074,236,13,168,1051,248.04,176.57,13.66,801906074,0801906074
801906075,349,43,198,1002,349.7,198.4,43.09,801906075,0801906075
801906076,311,24,189,1251,389.06,236.44,30.02,801906076,0801906076
801906077,258,41,149,1132,292.06,168.67,46.41,801906077,0801906077
801906078,247,26,194,1229,303.56,238.43,31.95,801906078,0801906078
801906079,263,27,198,1053,276.94,208.49,28.43,801906079,0801906079
801906080,258,38,159,1092,281.74,173.63,41.5,801906080,0801906080
801906081,254,21,156,1233,313.18,192.35,25.89,801906081,0801906081
801906082,155,9,98,2732,423.46,267.74,24.59,801906082,0801906082
801906083,304,25,182,1570,477.28,285.74,39.25,801906083,0801906083
801906084,272,28,186,1371,372.91,255.01,38.39,801906084,0801906084
801906085,270,20,194,1220,329.4,236.68,24.4,801906085,0801906085
801906086,347,27,203,925,320.97,187.78,24.98,801906086,0801906086
801906087,339,26,217,1758,595.96,381.49,45.71,801906087,0801906087
801906088,296,24,181,1201,355.5,217.38,28.82,801906088,0801906088
801907001,285,23,161,1384,394.44,222.82,31.83,801907001,0801907001
801907002,239,17,157,1048,250.47,164.54,17.82,801907002,0801907002
801907003,238,26,160,1255,298.69,200.8,32.63,801907003,0801907003
801907004,243,18,139,1463,355.51,203.36,26.33,801907004,0801907004
801907005,240,23,128,1367,328.08,174.98,31.44,801907005,0801907005
801907006,298,44,186,914,272.37,170.0,40.22,801907006,0801907006
801907007,207,16,123,1208,250.06,148.58,19.33,801907007,0801907007
801907008,310,27,168,1293,400.83,217.22,34.91,801907008,0801907008
801907009,225,32,166,1161,261.23,192.73,37.15,801907009,0801907009
801907010,245,31,180,1237,303.06,222.66,38.35,801907010,0801907010
801907011,232,28,132,1101,255.43,145.33,30.83,801907011,0801907011
801907012,258,21,162,1479,381.58,239.6,31.06,801907012,0801907012
801907013,323,24,186,1142,368.87,212.41,27.41,801907013,0801907013
801907014,219,33,176,788,172.57,138.69,26.0,801907014,0801907014
801907015,291,49,168,1321,384.41,221.93,64.73,801907015,0801907015
801907016,338,31,207,1307,441.77,270.55,40.52,801907016,0801907016
801907017,225,22,160,1596,359.1,255.36,35.11,801907017,0801907017
801907018,222,31,151,1561,346.54,235.71,48.39,801907018,0801907018
801907019,261,20,190,1420,370.62,269.8,28.4,801907019,0801907019
801907020,256,33,152,1628,416.77,247.46,53.72,801907020,0801907020
801907021,362,51,219,1030,372.86,225.57,52.53,801907021,0801907021
801907022,271,20,241,1118,302.98,269.44,22.36,801907022,0801907022
801907023,315,38,256,1264,398.16,323.58,48.03,801907023,0801907023
801907024,278,24,211,1412,392.54,297.93,33.89,801907024,0801907024
801907025,242,35,207,1377,333.23,285.04,48.2,801907025,0801907025
801907026,309,22,206,1050,324.45,216.3,23.1,801907026,0801907026
801907027,261,35,172,2015,525.92,346.58,70.53,801907027,0801907027
801907028,293,31,213,1439,421.63,306.51,44.61,801907028,0801907028
801907029,261,20,179,1247,325.47,223.21,24.94,801907029,0801907029
801907030,251,37,143,1303,327.05,186.33,48.21,801907030,0801907030
801907031,245,37,165,1502,367.99,247.83,55.57,801907031,0801907031
801907032,260,24,134,1373,356.98,183.98,32.95,801907032,0801907032
801907033,286,27,172,1357,388.1,233.4,36.64,801907033,0801907033
801907034,277,33,142,1735,480.6,246.37,57.26,801907034,0801907034
801907035,330,35,150,1662,548.46,249.3,58.17,801907035,0801907035
801907036,308,24,165,1343,413.64,221.6,32.23,801907036,0801907036
801907037,265,53,137,1400,371.0,191.8,74.2,801907037,0801907037
801907038,326,215,170,1216,396.42,206.72,261.44,801907038,0801907038
801907039,307,43,135,1532,470.32,206.82,65.88,801907039,0801907039
801907040,258,30,152,1415,365.07,215.08,42.45,801907040,0801907040
801907041,207,23,132,1314,272.0,173.45,30.22,801907041,0801907041
801907042,272,36,167,1431,389.23,238.98,51.52,801907042,0801907042
801907043,250,31,133,1348,337.0,179.28,41.79,801907043,0801907043
801907044,275,29,145,1219,335.22,176.76,35.35,801907044,0801907044
801907045,256,25,129,1491,381.7,192.34,37.28,801907045,0801907045
801907046,258,22,137,1303,336.17,178.51,28.67,801907046,0801907046
801907047,236,29,148,1382,326.15,204.54,40.08,801907047,0801907047
801907048,256,28,134,1258,322.05,168.57,35.22,801907048,0801907048
801907049,299,23,156,1141,341.16,178.0,26.24,801907049,0801907049
801907050,230,35,166,1138,261.74,188.91,39.83,801907050,0801907050
801907051,261,24,161,1742,454.66,280.46,41.81,801907051,0801907051
801907052,348,40,196,1172,407.86,229.71,46.88,801907052,0801907052
801907053,352,33,220,1422,500.54,312.84,46.93,801907053,0801907053
801907054,375,40,248,1569,588.38,389.11,62.76,801907054,0801907054
801907055,364,43,206,1140,414.96,234.84,49.02,801907055,0801907055
801907056,338,31,244,1139,384.98,277.92,35.31,801907056,0801907056
801907057,333,38,187,1387,461.87,259.37,52.71,801907057,0801907057
801907058,362,33,246,1308,473.5,321.77,43.16,801907058,0801907058
801907059,267,30,217,1247,332.95,270.6,37.41,801907059,0801907059
801907060,288,40,245,1810,521.28,443.45,72.4,801907060,0801907060
801907061,311,35,257,1161,361.07,298.38,40.64,801907061,0801907061
801907062,276,20,171,1335,368.46,228.29,26.7,801907062,0801907062
801907063,287,26,179,1408,404.1,252.03,36.61,801907063,0801907063
801907064,246,22,178,1630,400.98,290.14,35.86,801907064,0801907064
801907065,223,23,174,1651,368.17,287.27,37.97,801907065,0801907065
801907066,222,45,157,1674,371.63,262.82,75.33,801907066,0801907066
801907067,245,23,181,1508,369.46,272.95,34.68,801907067,0801907067
801907068,214,32,164,1272,272.21,208.61,40.7,801907068,0801907068
801907069,231,17,161,1393,321.78,224.27,23.68,801907069,0801907069
801907070,246,35,163,1375,338.25,224.12,48.13,801907070,0801907070
801907071,275,26,142,1278,351.45,181.48,33.23,801907071,0801907071
801907072,269,40,168,1305,351.04,219.24,52.2,801907072,0801907072
801907073,248,34,126,1085,269.08,136.71,36.89,801907073,0801907073
801907074,255,24,156,1576,401.88,245.86,37.82,801907074,0801907074
801907075,238,30,160,1137,270.61,181.92,34.11,801907075,0801907075
801907076,258,22,159,1335,344.43,212.26,29.37,801907076,0801907076
801907077,258,28,186,1271,327.92,236.41,35.59,801907077,0801907077
801907078,278,28,177,1332,370.3,235.76,37.3,801907078,0801907078
801907079,255,33,137,1368,348.84,187.42,45.14,801907079,0801907079
801907080,256,25,145,1741,445.7,252.44,43.53,801907080,0801907080
801907081,305,41,202,1839,560.9,371.48,75.4,801907081,0801907081
801907082,264,25,188,1186,313.1,222.97,29.65,801907082,0801907082
801907083,252,32,167,1296,326.59,216.43,41.47,801907083,0801907083
801907084,281,31,198,1308,367.55,258.98,40.55,801907084,0801907084
801907085,312,27,177,1228,383.14,217.36,33.16,801907085,0801907085
801907086,289,50,165,1428,412.69,235.62,71.4,801907086,0801907086
801907087,306,31,152,1540,471.24,234.08,47.74,801907087,0801907087
801907088,272,25,145,1652,449.34,239.54,41.3,801907088,0801907088
801907089,309,27,133,1295,400.16,172.24,34.96,801907089,0801907089
801907090,355,46,211,1404,498.42,296.24,64.58,801907090,0801907090
801907091,303,28,186,1176,356.33,218.74,32.93,801907091,0801907091
801907092,217,31,103,1329,288.39,136.89,41.2,801907092,0801907092
801907093,266,30,125,1620,430.92,202.5,48.6,801907093,0801907093
801907094,284,38,121,1104,313.54,133.58,41.95,801907094,0801907094
801907095,350,31,142,1386,485.1,196.81,42.97,801907095,0801907095
801907096,290,17,121,1317,381.93,159.36,22.39,801907096,0801907096
801907097,301,21,125,713,214.61,89.12,14.97,801907097,0801907097
801907098,353,30,133,2055,725.42,273.32,61.65,801907098,0801907098
801907099,420,24,159,1010,424.2,160.59,24.24,801907099,0801907099
801907100,325,44,107,1113,361.72,119.09,48.97,801907100,0801907100
801907101,304,36,114,1352,411.01,154.13,48.67,801907101,0801907101
801907102,283,94,213,647,183.1,137.81,60.82,801907102,0801907102
801907103,308,37,187,1452,447.22,271.52,53.72,801907103,0801907103
801907104,313,36,182,1493,467.31,271.73,53.75,801907104,0801907104
801907105,358,23,203,978,350.12,198.53,22.49,801907105,0801907105
801907106,290,27,141,1066,309.14,150.31,28.78,801907106,0801907106
801907107,357,21,175,1117,398.77,195.48,23.46,801907107,0801907107
801907108,323,25,166,1186,383.08,196.88,29.65,801907108,0801907108
801907109,287,32,140,1602,459.77,224.28,51.26,801907109,0801907109
801907110,304,20,161,893,271.47,143.77,17.86,801907110,0801907110
801907111,328,28,180,811,266.01,145.98,22.71,801907111,0801907111
801907112,288,40,128,1229,353.95,157.31,49.16,801907112,0801907112
801907113,282,22,132,1105,311.61,145.86,24.31,801907113,0801907113
801907114,297,37,148,1137,337.69,168.28,42.07,801907114,0801907114
801907115,318,32,218,1012,321.82,220.62,32.38,801907115,0801907115
801907116,270,19,162,1448,390.96,234.58,27.51,801907116,0801907116
801907117,94,13,49,2732,256.81,133.87,35.52,801907117,0801907117
801907118,289,38,152,1169,337.84,177.69,44.42,801907118,0801907118
801907119,252,34,142,1244,313.49,176.65,42.3,801907119,0801907119
801907120,306,20,164,1155,353.43,189.42,23.1,801907120,0801907120
801907121,229,26,124,1085,248.46,134.54,28.21,801907121,0801907121
801907122,272,22,145,1183,321.78,171.54,26.03,801907122,0801907122
801907123,285,30,157,1348,384.18,211.64,40.44,801907123,0801907123
801908001,290,24,126,1205,349.45,151.83,28.92,801908001,0801908001
801908002,277,30,162,1176,325.75,190.51,35.28,801908002,0801908002
801908003,300,37,143,1134,340.2,162.16,41.96,801908003,0801908003
801908004,269,33,118,1383,372.03,163.19,45.64,801908004,0801908004
801908005,293,32,99,1066,312.34,105.53,34.11,801908005,0801908005
801908006,267,38,152,1566,418.12,238.03,59.51,801908006,0801908006
801908007,306,42,116,1076,329.26,124.82,45.19,801908007,0801908007
801908008,288,22,154,1552,446.98,239.01,34.14,801908008,0801908008
801908009,213,29,129,1699,361.89,219.17,49.27,801908009,0801908009
801908010,270,101,161,1026,277.02,165.19,103.63,801908010,0801908010
801908011,277,28,109,1106,306.36,120.55,30.97,801908011,0801908011
801908012,250,37,129,1216,304.0,156.86,44.99,801908012,0801908012
801908013,250,21,105,1096,274.0,115.08,23.02,801908013,0801908013
801908014,227,18,119,1175,266.73,139.82,21.15,801908014,0801908014
801908015,231,25,104,1289,297.76,134.06,32.22,801908015,0801908015
801908016,243,43,117,1061,257.82,124.14,45.62,801908016,0801908016
801908017,313,28,149,1293,404.71,192.66,36.2,801908017,0801908017
801908018,244,28,94,1401,341.84,131.69,39.23,801908018,0801908018
801908019,223,27,113,1747,389.58,197.41,47.17,801908019,0801908019
801908020,251,25,135,1279,321.03,172.67,31.98,801908020,0801908020
801908021,270,36,116,1374,370.98,159.38,49.46,801908021,0801908021
801908022,311,19,130,1141,354.85,148.33,21.68,801908022,0801908022
801908023,247,43,120,1300,321.1,156.0,55.9,801908023,0801908023
801908024,275,29,119,1273,350.08,151.49,36.92,801908024,0801908024
801908025,228,30,99,1129,257.41,111.77,33.87,801908025,0801908025
801908026,236,28,105,1261,297.6,132.4,35.31,801908026,0801908026
801908027,295,19,123,1336,394.12,164.33,25.38,801908027,0801908027
801908028,304,28,111,1027,312.21,114.0,28.76,801908028,0801908028
801908029,293,47,137,1411,413.42,193.31,66.32,801908029,0801908029
801908030,255,31,105,1401,357.26,147.1,43.43,801908030,0801908030
801908031,287,29,117,1208,346.7,141.34,35.03,801908031,0801908031
801908032,313,31,123,1211,379.04,148.95,37.54,801908032,0801908032
801908033,240,24,97,1418,340.32,137.55,34.03,801908033,0801908033
801908034,206,17,76,1118,230.31,84.97,19.01,801908034,0801908034
801908035,67,6,31,4343,290.98,134.63,26.06,801908035,0801908035
801908036,220,25,102,1431,314.82,145.96,35.78,801908036,0801908036
801908037,241,38,99,1425,343.42,141.08,54.15,801908037,0801908037
801908038,219,20,115,1536,336.38,176.64,30.72,801908038,0801908038
801908039,260,35,123,1428,371.28,175.64,49.98,801908039,0801908039
801908040,210,24,110,1791,376.11,197.01,42.98,801908040,0801908040
801908041,180,28,95,2417,435.06,229.62,67.68,801908041,0801908041
801908042,278,23,92,1126,313.03,103.59,25.9,801908042,0801908042
801908043,228,23,105,1033,235.52,108.46,23.76,801908043,0801908043
801908044,199,29,115,1249,248.55,143.64,36.22,801908044,0801908044
801908045,190,22,90,1643,312.17,147.87,36.15,801908045,0801908045
801908046,212,34,126,1309,277.51,164.93,44.51,801908046,0801908046
801908047,189,15,113,1494,282.37,168.82,22.41,801908047,0801908047
801908048,271,23,141,917,248.51,129.3,21.09,801908048,0801908048
801908049,282,27,152,1141,321.76,173.43,30.81,801908049,0801908049
801908050,323,20,113,1309,422.81,147.92,26.18,801908050,0801908050
801908051,406,35,125,1310,531.86,163.75,45.85,801908051,0801908051
801908052,339,32,151,840,284.76,126.84,26.88,801908052,0801908052
801908053,347,32,156,1039,360.53,162.08,33.25,801908053,0801908053
801908054,310,22,131,1484,460.04,194.4,32.65,801908054,0801908054
801908055,403,35,107,1713,690.34,183.29,59.96,801908055,0801908055
801908056,287,30,107,1344,385.73,143.81,40.32,801908056,0801908056
801908057,269,18,88,1165,313.39,102.52,20.97,801908057,0801908057
801908058,263,27,103,1498,393.97,154.29,40.45,801908058,0801908058
801908059,251,28,134,934,234.43,125.16,26.15,801908059,0801908059
801908060,409,33,130,1128,461.35,146.64,37.22,801908060,0801908060
801908061,334,44,145,1562,521.71,226.49,68.73,801908061,0801908061
801908062,387,37,131,1082,418.73,141.74,40.03,801908062,0801908062
801908063,423,23,124,1012,428.08,125.49,23.28,801908063,0801908063
801908064,329,27,148,1724,567.2,255.15,46.55,801908064,0801908064
801908065,248,31,162,1726,428.05,279.61,53.51,801908065,0801908065
801908066,293,41,138,1540,451.22,212.52,63.14,801908066,0801908066
801908067,294,35,116,1770,520.38,205.32,61.95,801908067,0801908067
801908068,247,30,101,1812,447.56,183.01,54.36,801908068,0801908068
801908069,250,36,105,1507,376.75,158.23,54.25,801908069,0801908069
801908070,243,45,113,1430,347.49,161.59,64.35,801908070,0801908070
801908071,259,61,109,1665,431.24,181.48,101.56,801908071,0801908071
801908072,306,36,108,1125,344.25,121.5,40.5,801908072,0801908072
801908073,226,23,91,1642,371.09,149.42,37.77,801908073,0801908073
801908074,247,57,112,1478,365.07,165.54,84.25,801908074,0801908074
801908075,257,34,84,1798,462.09,151.03,61.13,801908075,0801908075
801908076,258,36,102,1502,387.52,153.2,54.07,801908076,0801908076
801908077,234,46,143,1366,319.64,195.34,62.84,801908077,0801908077
801908078,217,19,105,1477,320.51,155.08,28.06,801908078,0801908078
801908079,270,48,111,1355,365.85,150.4,65.04,801908079,0801908079
801908080,257,31,117,1461,375.48,170.94,45.29,801908080,0801908080
801908081,203,25,95,1569,318.51,149.06,39.22,801908081,0801908081
801908082,252,40,111,1502,378.5,166.72,60.08,801908082,0801908082
801908083,230,53,96,1240,285.2,119.04,65.72,801908083,0801908083
801908084,275,35,129,1019,280.23,131.45,35.67,801908084,0801908084
801908085,261,47,114,1454,379.49,165.76,68.34,801908085,0801908085
801908086,266,31,114,1586,421.88,180.8,49.17,801908086,0801908086
801908087,271,39,88,1138,308.4,100.14,44.38,801908087,0801908087
801908088,243,29,114,1200,291.6,136.8,34.8,801908088,0801908088
801908089,260,41,105,1164,302.64,122.22,47.72,801908089,0801908089
801908090,285,32,127,1141,325.18,144.91,36.51,801908090,0801908090
801908091,295,31,122,1116,329.22,136.15,34.6,801908091,0801908091
801908092,319,28,120,946,301.77,113.52,26.49,801908092,0801908092
801908093,241,32,113,1176,283.42,132.89,37.63,801908093,0801908093
801908094,273,29,101,1339,365.55,135.24,38.83,801908094,0801908094
801908095,293,23,117,1010,295.93,118.17,23.23,801908095,0801908095
801908096,353,64,141,1464,516.79,206.42,93.7,801908096,0801908096
801908097,291,32,116,1262,367.24,146.39,40.38,801908097,0801908097
801908098,274,42,102,1193,326.88,121.69,50.11,801908098,0801908098
801908099,243,32,116,1386,336.8,160.78,44.35,801908099,0801908099
801908100,235,33,120,1212,284.82,145.44,40.0,801908100,0801908100
801908101,277,31,87,1593,441.26,138.59,49.38,801908101,0801908101
801908102,199,30,96,1450,288.55,139.2,43.5,801908102,0801908102
801908103,215,31,108,1604,344.86,173.23,49.72,801908103,0801908103
801908104,279,22,95,1174,327.55,111.53,25.83,801908104,0801908104
801908105,250,47,97,1357,339.25,131.63,63.78,801908105,0801908105
801908106,272,36,110,1187,322.86,130.57,42.73,801908106,0801908106
801908107,266,33,113,1789,475.87,202.16,59.04,801908107,0801908107
801908108,286,63,125,1897,542.54,237.12,119.51,801908108,0801908108
801908109,360,67,201,956,344.16,192.16,64.05,801908109,0801908109
801908110,237,41,75,1933,458.12,144.98,79.25,801908110,0801908110
801908111,223,34,84,1606,358.14,134.9,54.6,801908111,0801908111
